epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5311413810755962,1.6118730150983238,0.76796875,0.8450186014175415
1,0.8946923439521753,0.40974215379021844,0.8391787853375574,0.599732215456518
2,0.9666510099851042,0.19807952580848395,0.8682634731558676,0.5343530388649352
3,0.9857836231036385,0.13869570683421376,0.8665526091185668,0.5830221250334594
4,0.9919837169250039,0.11840648982555481,0.8639863131900849,0.5768627280399675
5,0.9947080006262721,0.10534744422555585,0.8819503849953847,0.5450139868529665
6,0.9958581738311892,0.09997536000115653,0.8828125,0.5574958741664886
7,0.9955534679818381,0.09857017463462461,0.8802395210600593,0.590693118431509
8,0.9970565210583999,0.09266852884854773,0.8785286571247339,0.5806091131054508
9,0.9974009707217786,0.0880728119583277,0.8776732251315773,0.5970337557629503
10,0.9979333021391795,0.08554068890739835,0.8674080411117234,0.6691167182245247
11,0.9983716925003914,0.08371975675857513,0.8819503850463724,0.5327204087792144
12,0.9975211799163447,0.08322336837990665,0.88828125,0.5630027234554291
13,0.9978706748082041,0.08190012381206344,0.8682634732068554,0.7117079152726433
14,0.9962110537028339,0.08467844902339891,0.8605645853194342,0.6465310231042377
15,0.9980585564427744,0.07739531602474264,0.885372113120974,0.545377716791742
16,0.997776733990919,0.07767596320122719,0.861420017261603,0.6916351451947201
17,0.9968686394238296,0.07795588552079254,0.86826347310488,0.6009998271820176
18,0.9988704110448697,0.07219827310616109,0.8859375,0.6020973086357116
19,0.9985282605292,0.0707526924787636,0.8828058171415043,0.5964349813192088
